Date,Close,Open,High,Low,Volume,% var.
17/10/2019,"8,080","8,000","8,160","7,940","798,54K","0,50%"
18/10/2019,"8,110","8,060","8,150","7,980","881,50K","0,37%"
21/10/2019,"8,220","8,100","8,270","8,100","580,75K","1,36%"
22/10/2019,"8,220","8,210","8,300","8,180","605,40K","0,00%"
23/10/2019,"8,310","8,220","8,440","8,200","1,17M","1,09%"
24/10/2019,"8,250","8,350","8,420","8,230","743,12K","-0,72%"
25/10/2019,"8,370","8,270","8,370","8,260","704,17K","1,45%"
28/10/2019,"8,450","8,360","8,570","8,360","962,33K","0,96%"
29/10/2019,"8,530","8,490","8,550","8,370","636,11K","0,95%"
30/10/2019,"8,400","8,480","8,490","8,380","1,48M","-1,52%"
31/10/2019,"8,380","8,370","8,450","8,240","1,07M","-0,24%"
01/11/2019,"8,620","8,420","8,640","8,390","810,10K","2,86%"
